Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;2t3p;ibm_brisbane;3;2;0;'000;0;19;19
1;2t3p;ibm_brisbane;3;2;1;'001;904;823;80
1;2t3p;ibm_brisbane;3;2;2;'010;0;20;20
1;2t3p;ibm_brisbane;3;2;3;'011;0;8;8
1;2t3p;ibm_brisbane;3;2;4;'100;0;7;7
1;2t3p;ibm_brisbane;3;2;5;'101;0;14;14
1;2t3p;ibm_brisbane;3;2;6;'110;904;872;32
1;2t3p;ibm_brisbane;3;2;7;'111;0;44;44
2;2t3p;ibm_brisbane;3;2;0;'000;0;22;22
2;2t3p;ibm_brisbane;3;2;1;'001;904;833;70
2;2t3p;ibm_brisbane;3;2;2;'010;0;22;22
2;2t3p;ibm_brisbane;3;2;3;'011;0;7;7
2;2t3p;ibm_brisbane;3;2;4;'100;0;4;4
2;2t3p;ibm_brisbane;3;2;5;'101;0;17;17
2;2t3p;ibm_brisbane;3;2;6;'110;904;865;38
2;2t3p;ibm_brisbane;3;2;7;'111;0;37;37
3;2t3p;ibm_brisbane;3;2;0;'000;0;18;18
3;2t3p;ibm_brisbane;3;2;1;'001;904;815;88
3;2t3p;ibm_brisbane;3;2;2;'010;0;16;16
3;2t3p;ibm_brisbane;3;2;3;'011;0;11;11
3;2t3p;ibm_brisbane;3;2;4;'100;0;10;10
3;2t3p;ibm_brisbane;3;2;5;'101;0;14;14
3;2t3p;ibm_brisbane;3;2;6;'110;904;903;0
3;2t3p;ibm_brisbane;3;2;7;'111;0;20;20
4;2t3p;ibm_brisbane;3;2;0;'000;0;23;23
4;2t3p;ibm_brisbane;3;2;1;'001;904;854;50
4;2t3p;ibm_brisbane;3;2;2;'010;0;23;23
4;2t3p;ibm_brisbane;3;2;3;'011;0;6;6
4;2t3p;ibm_brisbane;3;2;4;'100;0;4;4
4;2t3p;ibm_brisbane;3;2;5;'101;0;9;9
4;2t3p;ibm_brisbane;3;2;6;'110;904;862;42
4;2t3p;ibm_brisbane;3;2;7;'111;0;26;26
5;2t3p;ibm_brisbane;3;2;0;'000;0;21;21
5;2t3p;ibm_brisbane;3;2;1;'001;904;826;78
5;2t3p;ibm_brisbane;3;2;2;'010;0;29;29
5;2t3p;ibm_brisbane;3;2;3;'011;0;5;5
5;2t3p;ibm_brisbane;3;2;4;'100;0;6;6
5;2t3p;ibm_brisbane;3;2;5;'101;0;11;11
5;2t3p;ibm_brisbane;3;2;6;'110;904;890;14
5;2t3p;ibm_brisbane;3;2;7;'111;0;19;19
6;2t3p;ibm_brisbane;3;2;0;'000;0;21;21
6;2t3p;ibm_brisbane;3;2;1;'001;904;841;62
6;2t3p;ibm_brisbane;3;2;2;'010;0;19;19
6;2t3p;ibm_brisbane;3;2;3;'011;0;7;7
6;2t3p;ibm_brisbane;3;2;4;'100;0;4;4
6;2t3p;ibm_brisbane;3;2;5;'101;0;11;11
6;2t3p;ibm_brisbane;3;2;6;'110;904;869;34
6;2t3p;ibm_brisbane;3;2;7;'111;0;35;35
7;2t3p;ibm_brisbane;3;2;0;'000;0;21;21
7;2t3p;ibm_brisbane;3;2;1;'001;904;809;94
7;2t3p;ibm_brisbane;3;2;2;'010;0;16;16
7;2t3p;ibm_brisbane;3;2;3;'011;0;7;7
7;2t3p;ibm_brisbane;3;2;4;'100;0;4;4
7;2t3p;ibm_brisbane;3;2;5;'101;0;14;14
7;2t3p;ibm_brisbane;3;2;6;'110;904;898;6
7;2t3p;ibm_brisbane;3;2;7;'111;0;38;38
8;2t3p;ibm_brisbane;3;2;0;'000;0;20;20
8;2t3p;ibm_brisbane;3;2;1;'001;904;827;76
8;2t3p;ibm_brisbane;3;2;2;'010;0;17;17
8;2t3p;ibm_brisbane;3;2;3;'011;0;7;7
8;2t3p;ibm_brisbane;3;2;4;'100;0;4;4
8;2t3p;ibm_brisbane;3;2;5;'101;0;23;23
8;2t3p;ibm_brisbane;3;2;6;'110;904;882;22
8;2t3p;ibm_brisbane;3;2;7;'111;0;27;27
9;2t3p;ibm_brisbane;3;2;0;'000;0;18;18
9;2t3p;ibm_brisbane;3;2;1;'001;904;851;52
9;2t3p;ibm_brisbane;3;2;2;'010;0;25;25
9;2t3p;ibm_brisbane;3;2;3;'011;0;11;11
9;2t3p;ibm_brisbane;3;2;4;'100;0;3;3
9;2t3p;ibm_brisbane;3;2;5;'101;0;11;11
9;2t3p;ibm_brisbane;3;2;6;'110;904;862;42
9;2t3p;ibm_brisbane;3;2;7;'111;0;26;26
10;2t3p;ibm_brisbane;3;2;0;'000;0;8;8
10;2t3p;ibm_brisbane;3;2;1;'001;904;835;68
10;2t3p;ibm_brisbane;3;2;2;'010;0;27;27
10;2t3p;ibm_brisbane;3;2;3;'011;0;5;5
10;2t3p;ibm_brisbane;3;2;4;'100;0;3;3
10;2t3p;ibm_brisbane;3;2;5;'101;0;9;9
10;2t3p;ibm_brisbane;3;2;6;'110;904;893;10
10;2t3p;ibm_brisbane;3;2;7;'111;0;27;27
