Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;2t3p;ibm_brisbane;3;2;0;'000;0;35;35
1;2t3p;ibm_brisbane;3;2;1;'001;2078;1812;266
1;2t3p;ibm_brisbane;3;2;2;'010;0;42;42
1;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
1;2t3p;ibm_brisbane;3;2;4;'100;0;13;13
1;2t3p;ibm_brisbane;3;2;5;'101;0;30;30
1;2t3p;ibm_brisbane;3;2;6;'110;2078;2162;84
1;2t3p;ibm_brisbane;3;2;7;'111;0;46;46
2;2t3p;ibm_brisbane;3;2;0;'000;0;52;52
2;2t3p;ibm_brisbane;3;2;1;'001;2078;1892;186
2;2t3p;ibm_brisbane;3;2;2;'010;0;30;30
2;2t3p;ibm_brisbane;3;2;3;'011;0;18;18
2;2t3p;ibm_brisbane;3;2;4;'100;0;15;15
2;2t3p;ibm_brisbane;3;2;5;'101;0;27;27
2;2t3p;ibm_brisbane;3;2;6;'110;2078;2079;1
2;2t3p;ibm_brisbane;3;2;7;'111;0;43;43
3;2t3p;ibm_brisbane;3;2;0;'000;0;53;53
3;2t3p;ibm_brisbane;3;2;1;'001;2078;1882;196
3;2t3p;ibm_brisbane;3;2;2;'010;0;40;40
3;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
3;2t3p;ibm_brisbane;3;2;4;'100;0;14;14
3;2t3p;ibm_brisbane;3;2;5;'101;0;26;26
3;2t3p;ibm_brisbane;3;2;6;'110;2078;2087;9
3;2t3p;ibm_brisbane;3;2;7;'111;0;38;38
4;2t3p;ibm_brisbane;3;2;0;'000;0;38;38
4;2t3p;ibm_brisbane;3;2;1;'001;2078;1925;153
4;2t3p;ibm_brisbane;3;2;2;'010;0;44;44
4;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
4;2t3p;ibm_brisbane;3;2;4;'100;0;12;12
4;2t3p;ibm_brisbane;3;2;5;'101;0;28;28
4;2t3p;ibm_brisbane;3;2;6;'110;2078;2033;45
4;2t3p;ibm_brisbane;3;2;7;'111;0;60;60
5;2t3p;ibm_brisbane;3;2;0;'000;0;58;58
5;2t3p;ibm_brisbane;3;2;1;'001;2078;1942;136
5;2t3p;ibm_brisbane;3;2;2;'010;0;45;45
5;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
5;2t3p;ibm_brisbane;3;2;4;'100;0;11;11
5;2t3p;ibm_brisbane;3;2;5;'101;0;25;25
5;2t3p;ibm_brisbane;3;2;6;'110;2078;2011;67
5;2t3p;ibm_brisbane;3;2;7;'111;0;48;48
6;2t3p;ibm_brisbane;3;2;0;'000;0;54;54
6;2t3p;ibm_brisbane;3;2;1;'001;2078;1820;258
6;2t3p;ibm_brisbane;3;2;2;'010;0;46;46
6;2t3p;ibm_brisbane;3;2;3;'011;0;24;24
6;2t3p;ibm_brisbane;3;2;4;'100;0;12;12
6;2t3p;ibm_brisbane;3;2;5;'101;0;31;31
6;2t3p;ibm_brisbane;3;2;6;'110;2078;2122;44
6;2t3p;ibm_brisbane;3;2;7;'111;0;47;47
7;2t3p;ibm_brisbane;3;2;0;'000;0;51;51
7;2t3p;ibm_brisbane;3;2;1;'001;2078;2008;70
7;2t3p;ibm_brisbane;3;2;2;'010;0;39;39
7;2t3p;ibm_brisbane;3;2;3;'011;0;14;14
7;2t3p;ibm_brisbane;3;2;4;'100;0;8;8
7;2t3p;ibm_brisbane;3;2;5;'101;0;23;23
7;2t3p;ibm_brisbane;3;2;6;'110;2078;1961;117
7;2t3p;ibm_brisbane;3;2;7;'111;0;52;52
8;2t3p;ibm_brisbane;3;2;0;'000;0;43;43
8;2t3p;ibm_brisbane;3;2;1;'001;2078;1879;199
8;2t3p;ibm_brisbane;3;2;2;'010;0;47;47
8;2t3p;ibm_brisbane;3;2;3;'011;0;22;22
8;2t3p;ibm_brisbane;3;2;4;'100;0;10;10
8;2t3p;ibm_brisbane;3;2;5;'101;0;31;31
8;2t3p;ibm_brisbane;3;2;6;'110;2078;2084;6
8;2t3p;ibm_brisbane;3;2;7;'111;0;40;40
9;2t3p;ibm_brisbane;3;2;0;'000;0;48;48
9;2t3p;ibm_brisbane;3;2;1;'001;2078;1907;171
9;2t3p;ibm_brisbane;3;2;2;'010;0;43;43
9;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
9;2t3p;ibm_brisbane;3;2;4;'100;0;17;17
9;2t3p;ibm_brisbane;3;2;5;'101;0;23;23
9;2t3p;ibm_brisbane;3;2;6;'110;2078;2051;27
9;2t3p;ibm_brisbane;3;2;7;'111;0;51;51
10;2t3p;ibm_brisbane;3;2;0;'000;0;50;50
10;2t3p;ibm_brisbane;3;2;1;'001;2078;1970;108
10;2t3p;ibm_brisbane;3;2;2;'010;0;41;41
10;2t3p;ibm_brisbane;3;2;3;'011;0;19;19
10;2t3p;ibm_brisbane;3;2;4;'100;0;16;16
10;2t3p;ibm_brisbane;3;2;5;'101;0;25;25
10;2t3p;ibm_brisbane;3;2;6;'110;2078;1981;97
10;2t3p;ibm_brisbane;3;2;7;'111;0;54;54
