Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;2t3p;ibm_brisbane;3;2;0;'000;0;34;34
1;2t3p;ibm_brisbane;3;2;1;'001;1295;1219;76
1;2t3p;ibm_brisbane;3;2;2;'010;0;26;26
1;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
1;2t3p;ibm_brisbane;3;2;4;'100;0;4;4
1;2t3p;ibm_brisbane;3;2;5;'101;0;14;14
1;2t3p;ibm_brisbane;3;2;6;'110;1295;1235;60
1;2t3p;ibm_brisbane;3;2;7;'111;0;42;42
2;2t3p;ibm_brisbane;3;2;0;'000;0;28;28
2;2t3p;ibm_brisbane;3;2;1;'001;1295;1212;83
2;2t3p;ibm_brisbane;3;2;2;'010;0;32;32
2;2t3p;ibm_brisbane;3;2;3;'011;0;14;14
2;2t3p;ibm_brisbane;3;2;4;'100;0;5;5
2;2t3p;ibm_brisbane;3;2;5;'101;0;12;12
2;2t3p;ibm_brisbane;3;2;6;'110;1295;1244;51
2;2t3p;ibm_brisbane;3;2;7;'111;0;43;43
3;2t3p;ibm_brisbane;3;2;0;'000;0;30;30
3;2t3p;ibm_brisbane;3;2;1;'001;1295;1198;97
3;2t3p;ibm_brisbane;3;2;2;'010;0;21;21
3;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
3;2t3p;ibm_brisbane;3;2;4;'100;0;11;11
3;2t3p;ibm_brisbane;3;2;5;'101;0;7;7
3;2t3p;ibm_brisbane;3;2;6;'110;1295;1258;37
3;2t3p;ibm_brisbane;3;2;7;'111;0;49;49
4;2t3p;ibm_brisbane;3;2;0;'000;0;24;24
4;2t3p;ibm_brisbane;3;2;1;'001;1295;1207;88
4;2t3p;ibm_brisbane;3;2;2;'010;0;21;21
4;2t3p;ibm_brisbane;3;2;3;'011;0;9;9
4;2t3p;ibm_brisbane;3;2;4;'100;0;5;5
4;2t3p;ibm_brisbane;3;2;5;'101;0;19;19
4;2t3p;ibm_brisbane;3;2;6;'110;1295;1273;22
4;2t3p;ibm_brisbane;3;2;7;'111;0;32;32
5;2t3p;ibm_brisbane;3;2;0;'000;0;26;26
5;2t3p;ibm_brisbane;3;2;1;'001;1295;1197;98
5;2t3p;ibm_brisbane;3;2;2;'010;0;24;24
5;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
5;2t3p;ibm_brisbane;3;2;4;'100;0;7;7
5;2t3p;ibm_brisbane;3;2;5;'101;0;14;14
5;2t3p;ibm_brisbane;3;2;6;'110;1295;1261;34
5;2t3p;ibm_brisbane;3;2;7;'111;0;45;45
6;2t3p;ibm_brisbane;3;2;0;'000;0;30;30
6;2t3p;ibm_brisbane;3;2;1;'001;1295;1242;53
6;2t3p;ibm_brisbane;3;2;2;'010;0;23;23
6;2t3p;ibm_brisbane;3;2;3;'011;0;22;22
6;2t3p;ibm_brisbane;3;2;4;'100;0;6;6
6;2t3p;ibm_brisbane;3;2;5;'101;0;18;18
6;2t3p;ibm_brisbane;3;2;6;'110;1295;1215;80
6;2t3p;ibm_brisbane;3;2;7;'111;0;34;34
7;2t3p;ibm_brisbane;3;2;0;'000;0;16;16
7;2t3p;ibm_brisbane;3;2;1;'001;1295;1214;81
7;2t3p;ibm_brisbane;3;2;2;'010;0;21;21
7;2t3p;ibm_brisbane;3;2;3;'011;0;10;10
7;2t3p;ibm_brisbane;3;2;4;'100;0;11;11
7;2t3p;ibm_brisbane;3;2;5;'101;0;27;27
7;2t3p;ibm_brisbane;3;2;6;'110;1295;1246;49
7;2t3p;ibm_brisbane;3;2;7;'111;0;45;45
8;2t3p;ibm_brisbane;3;2;0;'000;0;35;35
8;2t3p;ibm_brisbane;3;2;1;'001;1295;1230;65
8;2t3p;ibm_brisbane;3;2;2;'010;0;27;27
8;2t3p;ibm_brisbane;3;2;3;'011;0;3;3
8;2t3p;ibm_brisbane;3;2;4;'100;0;7;7
8;2t3p;ibm_brisbane;3;2;5;'101;0;16;16
8;2t3p;ibm_brisbane;3;2;6;'110;1295;1253;42
8;2t3p;ibm_brisbane;3;2;7;'111;0;19;19
9;2t3p;ibm_brisbane;3;2;0;'000;0;30;30
9;2t3p;ibm_brisbane;3;2;1;'001;1295;1204;91
9;2t3p;ibm_brisbane;3;2;2;'010;0;24;24
9;2t3p;ibm_brisbane;3;2;3;'011;0;7;7
9;2t3p;ibm_brisbane;3;2;4;'100;0;7;7
9;2t3p;ibm_brisbane;3;2;5;'101;0;22;22
9;2t3p;ibm_brisbane;3;2;6;'110;1295;1261;34
9;2t3p;ibm_brisbane;3;2;7;'111;0;35;35
10;2t3p;ibm_brisbane;3;2;0;'000;0;22;22
10;2t3p;ibm_brisbane;3;2;1;'001;1295;1195;100
10;2t3p;ibm_brisbane;3;2;2;'010;0;21;21
10;2t3p;ibm_brisbane;3;2;3;'011;0;12;12
10;2t3p;ibm_brisbane;3;2;4;'100;0;6;6
10;2t3p;ibm_brisbane;3;2;5;'101;0;18;18
10;2t3p;ibm_brisbane;3;2;6;'110;1295;1288;7
10;2t3p;ibm_brisbane;3;2;7;'111;0;28;28
