Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;2t3p;ibm_brisbane;3;2;0;'000;0;12;12
1;2t3p;ibm_brisbane;3;2;1;'001;512;471;41
1;2t3p;ibm_brisbane;3;2;2;'010;0;10;10
1;2t3p;ibm_brisbane;3;2;3;'011;0;5;5
1;2t3p;ibm_brisbane;3;2;4;'100;0;2;2
1;2t3p;ibm_brisbane;3;2;5;'101;0;9;9
1;2t3p;ibm_brisbane;3;2;6;'110;512;494;18
1;2t3p;ibm_brisbane;3;2;7;'111;0;21;21
2;2t3p;ibm_brisbane;3;2;0;'000;0;10;10
2;2t3p;ibm_brisbane;3;2;1;'001;512;459;53
2;2t3p;ibm_brisbane;3;2;2;'010;0;13;13
2;2t3p;ibm_brisbane;3;2;3;'011;0;5;5
2;2t3p;ibm_brisbane;3;2;4;'100;0;6;6
2;2t3p;ibm_brisbane;3;2;5;'101;0;11;11
2;2t3p;ibm_brisbane;3;2;6;'110;512;504;8
2;2t3p;ibm_brisbane;3;2;7;'111;0;16;16
3;2t3p;ibm_brisbane;3;2;0;'000;0;14;14
3;2t3p;ibm_brisbane;3;2;1;'001;512;489;23
3;2t3p;ibm_brisbane;3;2;2;'010;0;9;9
3;2t3p;ibm_brisbane;3;2;3;'011;0;6;6
3;2t3p;ibm_brisbane;3;2;4;'100;0;2;2
3;2t3p;ibm_brisbane;3;2;5;'101;0;8;8
3;2t3p;ibm_brisbane;3;2;6;'110;512;482;30
3;2t3p;ibm_brisbane;3;2;7;'111;0;14;14
4;2t3p;ibm_brisbane;3;2;0;'000;0;2;2
4;2t3p;ibm_brisbane;3;2;1;'001;512;457;55
4;2t3p;ibm_brisbane;3;2;2;'010;0;13;13
4;2t3p;ibm_brisbane;3;2;3;'011;0;6;6
4;2t3p;ibm_brisbane;3;2;4;'100;0;5;5
4;2t3p;ibm_brisbane;3;2;5;'101;0;3;3
4;2t3p;ibm_brisbane;3;2;6;'110;512;525;13
4;2t3p;ibm_brisbane;3;2;7;'111;0;13;13
5;2t3p;ibm_brisbane;3;2;0;'000;0;13;13
5;2t3p;ibm_brisbane;3;2;1;'001;512;443;69
5;2t3p;ibm_brisbane;3;2;2;'010;0;9;9
5;2t3p;ibm_brisbane;3;2;3;'011;0;8;8
5;2t3p;ibm_brisbane;3;2;4;'100;0;8;8
5;2t3p;ibm_brisbane;3;2;5;'101;0;13;13
5;2t3p;ibm_brisbane;3;2;6;'110;512;524;12
5;2t3p;ibm_brisbane;3;2;7;'111;0;6;6
6;2t3p;ibm_brisbane;3;2;0;'000;0;12;12
6;2t3p;ibm_brisbane;3;2;1;'001;512;485;27
6;2t3p;ibm_brisbane;3;2;2;'010;0;7;7
6;2t3p;ibm_brisbane;3;2;3;'011;0;7;7
6;2t3p;ibm_brisbane;3;2;4;'100;0;6;6
6;2t3p;ibm_brisbane;3;2;5;'101;0;7;7
6;2t3p;ibm_brisbane;3;2;6;'110;512;491;21
6;2t3p;ibm_brisbane;3;2;7;'111;0;9;9
7;2t3p;ibm_brisbane;3;2;0;'000;0;14;14
7;2t3p;ibm_brisbane;3;2;1;'001;512;462;50
7;2t3p;ibm_brisbane;3;2;2;'010;0;5;5
7;2t3p;ibm_brisbane;3;2;4;'100;0;1;1
7;2t3p;ibm_brisbane;3;2;5;'101;0;5;5
7;2t3p;ibm_brisbane;3;2;6;'110;512;512;0
7;2t3p;ibm_brisbane;3;2;7;'111;0;25;25
8;2t3p;ibm_brisbane;3;2;0;'000;0;10;10
8;2t3p;ibm_brisbane;3;2;1;'001;512;480;32
8;2t3p;ibm_brisbane;3;2;2;'010;0;6;6
8;2t3p;ibm_brisbane;3;2;3;'011;0;2;2
8;2t3p;ibm_brisbane;3;2;4;'100;0;3;3
8;2t3p;ibm_brisbane;3;2;5;'101;0;7;7
8;2t3p;ibm_brisbane;3;2;6;'110;512;497;15
8;2t3p;ibm_brisbane;3;2;7;'111;0;19;19
9;2t3p;ibm_brisbane;3;2;0;'000;0;10;10
9;2t3p;ibm_brisbane;3;2;1;'001;512;477;35
9;2t3p;ibm_brisbane;3;2;2;'010;0;5;5
9;2t3p;ibm_brisbane;3;2;3;'011;0;8;8
9;2t3p;ibm_brisbane;3;2;4;'100;0;3;3
9;2t3p;ibm_brisbane;3;2;5;'101;0;12;12
9;2t3p;ibm_brisbane;3;2;6;'110;512;496;16
9;2t3p;ibm_brisbane;3;2;7;'111;0;13;13
10;2t3p;ibm_brisbane;3;2;0;'000;0;10;10
10;2t3p;ibm_brisbane;3;2;1;'001;512;458;54
10;2t3p;ibm_brisbane;3;2;2;'010;0;9;9
10;2t3p;ibm_brisbane;3;2;3;'011;0;8;8
10;2t3p;ibm_brisbane;3;2;4;'100;0;7;7
10;2t3p;ibm_brisbane;3;2;5;'101;0;10;10
10;2t3p;ibm_brisbane;3;2;6;'110;512;509;3
10;2t3p;ibm_brisbane;3;2;7;'111;0;13;13
