Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
3;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;129;129
3;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;132;132
3;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;127;127
3;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;129;129
3;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;126;126
3;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;146;146
3;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;102;102
3;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;124;124
3;Grover_4num_5Q;ibm_brisbane;5;4;26;'11010;0;131;131
3;Grover_4num_5Q;ibm_brisbane;5;4;27;'11011;0;143;143
3;Grover_4num_5Q;ibm_brisbane;5;4;28;'11100;0;127;127
3;Grover_4num_5Q;ibm_brisbane;5;4;29;'11101;0;153;153
3;Grover_4num_5Q;ibm_brisbane;5;4;30;'11110;0;121;121
3;Grover_4num_5Q;ibm_brisbane;5;4;31;'11111;1047;144;903
4;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;1047;103;944
4;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;121;121
4;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;125;125
4;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;130;130
4;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;115;115
4;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;125;125
4;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;139;139
4;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;134;134
4;Grover_4num_5Q;ibm_brisbane;5;4;8;'01000;0;127;127
4;Grover_4num_5Q;ibm_brisbane;5;4;9;'01001;0;135;135
4;Grover_4num_5Q;ibm_brisbane;5;4;10;'01010;0;132;132
4;Grover_4num_5Q;ibm_brisbane;5;4;11;'01011;0;133;133
4;Grover_4num_5Q;ibm_brisbane;5;4;12;'01100;0;139;139
4;Grover_4num_5Q;ibm_brisbane;5;4;13;'01101;0;143;143
4;Grover_4num_5Q;ibm_brisbane;5;4;14;'01110;1047;121;926
4;Grover_4num_5Q;ibm_brisbane;5;4;15;'01111;1047;159;888
4;Grover_4num_5Q;ibm_brisbane;5;4;16;'10000;0;117;117
4;Grover_4num_5Q;ibm_brisbane;5;4;17;'10001;0;154;154
4;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;138;138
4;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;138;138
4;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;141;141
4;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;124;124
4;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;113;113
4;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;142;142
4;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;119;119
4;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;138;138
4;Grover_4num_5Q;ibm_brisbane;5;4;26;'11010;0;128;128
4;Grover_4num_5Q;ibm_brisbane;5;4;27;'11011;0;158;158
4;Grover_4num_5Q;ibm_brisbane;5;4;28;'11100;0;116;116
4;Grover_4num_5Q;ibm_brisbane;5;4;29;'11101;0;137;137
4;Grover_4num_5Q;ibm_brisbane;5;4;30;'11110;0;113;113
4;Grover_4num_5Q;ibm_brisbane;5;4;31;'11111;1047;130;917
5;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;1047;115;932
5;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;138;138
5;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;107;107
5;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;120;120
5;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;115;115
5;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;151;151
5;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;105;105
5;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;143;143
