Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;3419;446;2973
1;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;394;394
1;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;439;439
1;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;373;373
1;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;412;412
1;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;354;354
1;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;401;401
1;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;362;362
1;Grover_4num_5Q;ibm_brisbane;5;4;8;'01000;0;443;443
1;Grover_4num_5Q;ibm_brisbane;5;4;9;'01001;0;452;452
1;Grover_4num_5Q;ibm_brisbane;5;4;10;'01010;0;486;486
1;Grover_4num_5Q;ibm_brisbane;5;4;11;'01011;0;482;482
1;Grover_4num_5Q;ibm_brisbane;5;4;12;'01100;0;489;489
1;Grover_4num_5Q;ibm_brisbane;5;4;13;'01101;0;406;406
1;Grover_4num_5Q;ibm_brisbane;5;4;14;'01110;3419;447;2972
1;Grover_4num_5Q;ibm_brisbane;5;4;15;'01111;3419;445;2974
1;Grover_4num_5Q;ibm_brisbane;5;4;16;'10000;0;445;445
1;Grover_4num_5Q;ibm_brisbane;5;4;17;'10001;0;391;391
1;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;438;438
1;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;363;363
1;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;383;383
1;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;385;385
1;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;392;392
1;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;400;400
1;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;451;451
1;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;466;466
1;Grover_4num_5Q;ibm_brisbane;5;4;26;'11010;0;452;452
1;Grover_4num_5Q;ibm_brisbane;5;4;27;'11011;0;450;450
1;Grover_4num_5Q;ibm_brisbane;5;4;28;'11100;0;499;499
1;Grover_4num_5Q;ibm_brisbane;5;4;29;'11101;0;424;424
1;Grover_4num_5Q;ibm_brisbane;5;4;30;'11110;0;475;475
1;Grover_4num_5Q;ibm_brisbane;5;4;31;'11111;3419;432;2987
2;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;3419;398;3021
2;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;365;365
2;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;428;428
2;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;425;425
2;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;477;477
2;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;397;397
2;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;445;445
2;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;436;436
