Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;2690;241;2449
1;Greenoble_4num_5Q;ibm_brisbane;5;4;1;'00001;0;274;274
1;Greenoble_4num_5Q;ibm_brisbane;5;4;2;'00010;0;296;296
1;Greenoble_4num_5Q;ibm_brisbane;5;4;3;'00011;0;356;356
1;Greenoble_4num_5Q;ibm_brisbane;5;4;4;'00100;0;260;260
1;Greenoble_4num_5Q;ibm_brisbane;5;4;5;'00101;0;315;315
1;Greenoble_4num_5Q;ibm_brisbane;5;4;6;'00110;0;335;335
1;Greenoble_4num_5Q;ibm_brisbane;5;4;7;'00111;0;406;406
1;Greenoble_4num_5Q;ibm_brisbane;5;4;8;'01000;0;247;247
1;Greenoble_4num_5Q;ibm_brisbane;5;4;9;'01001;0;399;399
1;Greenoble_4num_5Q;ibm_brisbane;5;4;10;'01010;0;321;321
1;Greenoble_4num_5Q;ibm_brisbane;5;4;11;'01011;0;417;417
1;Greenoble_4num_5Q;ibm_brisbane;5;4;12;'01100;0;291;291
1;Greenoble_4num_5Q;ibm_brisbane;5;4;13;'01101;0;419;419
1;Greenoble_4num_5Q;ibm_brisbane;5;4;14;'01110;2690;328;2362
1;Greenoble_4num_5Q;ibm_brisbane;5;4;15;'01111;2690;475;2215
1;Greenoble_4num_5Q;ibm_brisbane;5;4;16;'10000;0;224;224
1;Greenoble_4num_5Q;ibm_brisbane;5;4;17;'10001;0;303;303
1;Greenoble_4num_5Q;ibm_brisbane;5;4;18;'10010;0;307;307
1;Greenoble_4num_5Q;ibm_brisbane;5;4;19;'10011;0;324;324
1;Greenoble_4num_5Q;ibm_brisbane;5;4;20;'10100;0;259;259
1;Greenoble_4num_5Q;ibm_brisbane;5;4;21;'10101;0;326;326
1;Greenoble_4num_5Q;ibm_brisbane;5;4;22;'10110;0;309;309
1;Greenoble_4num_5Q;ibm_brisbane;5;4;23;'10111;0;366;366
1;Greenoble_4num_5Q;ibm_brisbane;5;4;24;'11000;0;284;284
1;Greenoble_4num_5Q;ibm_brisbane;5;4;25;'11001;0;345;345
1;Greenoble_4num_5Q;ibm_brisbane;5;4;26;'11010;0;325;325
1;Greenoble_4num_5Q;ibm_brisbane;5;4;27;'11011;0;399;399
1;Greenoble_4num_5Q;ibm_brisbane;5;4;28;'11100;0;335;335
1;Greenoble_4num_5Q;ibm_brisbane;5;4;29;'11101;0;430;430
1;Greenoble_4num_5Q;ibm_brisbane;5;4;30;'11110;0;389;389
1;Greenoble_4num_5Q;ibm_brisbane;5;4;31;'11111;2690;455;2235
2;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;2690;231;2459
