Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;2082;170;1912
1;Greenoble_4num_5Q;ibm_brisbane;5;4;1;'00001;0;220;220
1;Greenoble_4num_5Q;ibm_brisbane;5;4;2;'00010;0;244;244
1;Greenoble_4num_5Q;ibm_brisbane;5;4;3;'00011;0;252;252
1;Greenoble_4num_5Q;ibm_brisbane;5;4;4;'00100;0;245;245
1;Greenoble_4num_5Q;ibm_brisbane;5;4;5;'00101;0;246;246
1;Greenoble_4num_5Q;ibm_brisbane;5;4;6;'00110;0;241;241
1;Greenoble_4num_5Q;ibm_brisbane;5;4;7;'00111;0;295;295
1;Greenoble_4num_5Q;ibm_brisbane;5;4;8;'01000;0;221;221
1;Greenoble_4num_5Q;ibm_brisbane;5;4;9;'01001;0;300;300
1;Greenoble_4num_5Q;ibm_brisbane;5;4;10;'01010;0;233;233
1;Greenoble_4num_5Q;ibm_brisbane;5;4;11;'01011;0;362;362
1;Greenoble_4num_5Q;ibm_brisbane;5;4;12;'01100;0;213;213
1;Greenoble_4num_5Q;ibm_brisbane;5;4;13;'01101;0;314;314
1;Greenoble_4num_5Q;ibm_brisbane;5;4;14;'01110;2082;247;1834
1;Greenoble_4num_5Q;ibm_brisbane;5;4;15;'01111;2082;345;1736
1;Greenoble_4num_5Q;ibm_brisbane;5;4;16;'10000;0;211;211
1;Greenoble_4num_5Q;ibm_brisbane;5;4;17;'10001;0;228;228
1;Greenoble_4num_5Q;ibm_brisbane;5;4;18;'10010;0;180;180
1;Greenoble_4num_5Q;ibm_brisbane;5;4;19;'10011;0;245;245
1;Greenoble_4num_5Q;ibm_brisbane;5;4;20;'10100;0;221;221
1;Greenoble_4num_5Q;ibm_brisbane;5;4;21;'10101;0;282;282
1;Greenoble_4num_5Q;ibm_brisbane;5;4;22;'10110;0;222;222
1;Greenoble_4num_5Q;ibm_brisbane;5;4;23;'10111;0;283;283
1;Greenoble_4num_5Q;ibm_brisbane;5;4;24;'11000;0;227;227
1;Greenoble_4num_5Q;ibm_brisbane;5;4;25;'11001;0;293;293
1;Greenoble_4num_5Q;ibm_brisbane;5;4;26;'11010;0;257;257
1;Greenoble_4num_5Q;ibm_brisbane;5;4;27;'11011;0;310;310
1;Greenoble_4num_5Q;ibm_brisbane;5;4;28;'11100;0;277;277
1;Greenoble_4num_5Q;ibm_brisbane;5;4;29;'11101;0;338;338
1;Greenoble_4num_5Q;ibm_brisbane;5;4;30;'11110;0;282;282
1;Greenoble_4num_5Q;ibm_brisbane;5;4;31;'11111;2082;322;1760
2;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;2082;300;1782
2;Greenoble_4num_5Q;ibm_brisbane;5;4;1;'00001;0;290;290
2;Greenoble_4num_5Q;ibm_brisbane;5;4;2;'00010;0;255;255
2;Greenoble_4num_5Q;ibm_brisbane;5;4;3;'00011;0;256;256
2;Greenoble_4num_5Q;ibm_brisbane;5;4;4;'00100;0;331;331
2;Greenoble_4num_5Q;ibm_brisbane;5;4;5;'00101;0;276;276
2;Greenoble_4num_5Q;ibm_brisbane;5;4;6;'00110;0;310;310
2;Greenoble_4num_5Q;ibm_brisbane;5;4;7;'00111;0;264;264
2;Greenoble_4num_5Q;ibm_brisbane;5;4;8;'01000;0;334;334
2;Greenoble_4num_5Q;ibm_brisbane;5;4;9;'01001;0;251;251
2;Greenoble_4num_5Q;ibm_brisbane;5;4;10;'01010;0;284;284
2;Greenoble_4num_5Q;ibm_brisbane;5;4;11;'01011;0;270;270
2;Greenoble_4num_5Q;ibm_brisbane;5;4;12;'01100;0;337;337
2;Greenoble_4num_5Q;ibm_brisbane;5;4;13;'01101;0;217;217
2;Greenoble_4num_5Q;ibm_brisbane;5;4;14;'01110;2082;276;1806
2;Greenoble_4num_5Q;ibm_brisbane;5;4;15;'01111;2082;250;1832
2;Greenoble_4num_5Q;ibm_brisbane;5;4;16;'10000;0;248;248
2;Greenoble_4num_5Q;ibm_brisbane;5;4;17;'10001;0;276;276
2;Greenoble_4num_5Q;ibm_brisbane;5;4;18;'10010;0;237;237
2;Greenoble_4num_5Q;ibm_brisbane;5;4;19;'10011;0;201;201
2;Greenoble_4num_5Q;ibm_brisbane;5;4;20;'10100;0;252;252
2;Greenoble_4num_5Q;ibm_brisbane;5;4;21;'10101;0;260;260
2;Greenoble_4num_5Q;ibm_brisbane;5;4;22;'10110;0;230;230
2;Greenoble_4num_5Q;ibm_brisbane;5;4;23;'10111;0;207;207
2;Greenoble_4num_5Q;ibm_brisbane;5;4;24;'11000;0;217;217
2;Greenoble_4num_5Q;ibm_brisbane;5;4;25;'11001;0;269;269
2;Greenoble_4num_5Q;ibm_brisbane;5;4;26;'11010;0;258;258
2;Greenoble_4num_5Q;ibm_brisbane;5;4;27;'11011;0;232;232
2;Greenoble_4num_5Q;ibm_brisbane;5;4;28;'11100;0;246;246
2;Greenoble_4num_5Q;ibm_brisbane;5;4;29;'11101;0;262;262
2;Greenoble_4num_5Q;ibm_brisbane;5;4;30;'11110;0;234;234
2;Greenoble_4num_5Q;ibm_brisbane;5;4;31;'11111;2082;196;1886
3;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;2082;216;1866
