Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Greenoble_2num_5Q;ibm_brisbane;5;2;0;'00000;1653;430;1223
1;Greenoble_2num_5Q;ibm_brisbane;5;2;1;'00001;0;50;50
1;Greenoble_2num_5Q;ibm_brisbane;5;2;2;'00010;0;111;111
1;Greenoble_2num_5Q;ibm_brisbane;5;2;3;'00011;0;13;13
1;Greenoble_2num_5Q;ibm_brisbane;5;2;4;'00100;0;237;237
1;Greenoble_2num_5Q;ibm_brisbane;5;2;5;'00101;0;32;32
1;Greenoble_2num_5Q;ibm_brisbane;5;2;6;'00110;0;65;65
1;Greenoble_2num_5Q;ibm_brisbane;5;2;7;'00111;0;10;10
1;Greenoble_2num_5Q;ibm_brisbane;5;2;8;'01000;0;186;186
1;Greenoble_2num_5Q;ibm_brisbane;5;2;9;'01001;0;33;33
1;Greenoble_2num_5Q;ibm_brisbane;5;2;10;'01010;0;53;53
1;Greenoble_2num_5Q;ibm_brisbane;5;2;11;'01011;0;9;9
1;Greenoble_2num_5Q;ibm_brisbane;5;2;12;'01100;0;257;257
1;Greenoble_2num_5Q;ibm_brisbane;5;2;13;'01101;0;39;39
1;Greenoble_2num_5Q;ibm_brisbane;5;2;14;'01110;0;72;72
1;Greenoble_2num_5Q;ibm_brisbane;5;2;15;'01111;0;9;9
1;Greenoble_2num_5Q;ibm_brisbane;5;2;16;'10000;0;43;43
1;Greenoble_2num_5Q;ibm_brisbane;5;2;17;'10001;0;69;69
1;Greenoble_2num_5Q;ibm_brisbane;5;2;18;'10010;0;36;36
1;Greenoble_2num_5Q;ibm_brisbane;5;2;19;'10011;0;93;93
1;Greenoble_2num_5Q;ibm_brisbane;5;2;20;'10100;0;23;23
1;Greenoble_2num_5Q;ibm_brisbane;5;2;21;'10101;0;48;48
1;Greenoble_2num_5Q;ibm_brisbane;5;2;22;'10110;0;42;42
1;Greenoble_2num_5Q;ibm_brisbane;5;2;23;'10111;0;55;55
1;Greenoble_2num_5Q;ibm_brisbane;5;2;24;'11000;0;151;151
1;Greenoble_2num_5Q;ibm_brisbane;5;2;25;'11001;0;252;252
1;Greenoble_2num_5Q;ibm_brisbane;5;2;26;'11010;0;158;158
1;Greenoble_2num_5Q;ibm_brisbane;5;2;27;'11011;0;279;279
1;Greenoble_2num_5Q;ibm_brisbane;5;2;28;'11100;0;76;76
1;Greenoble_2num_5Q;ibm_brisbane;5;2;29;'11101;0;136;136
1;Greenoble_2num_5Q;ibm_brisbane;5;2;30;'11110;0;91;91
1;Greenoble_2num_5Q;ibm_brisbane;5;2;31;'11111;1653;148;1505
2;Greenoble_2num_5Q;ibm_brisbane;5;2;0;'00000;1653;359;1294
2;Greenoble_2num_5Q;ibm_brisbane;5;2;1;'00001;0;38;38
2;Greenoble_2num_5Q;ibm_brisbane;5;2;2;'00010;0;99;99
2;Greenoble_2num_5Q;ibm_brisbane;5;2;3;'00011;0;6;6
2;Greenoble_2num_5Q;ibm_brisbane;5;2;4;'00100;0;220;220
2;Greenoble_2num_5Q;ibm_brisbane;5;2;5;'00101;0;39;39
2;Greenoble_2num_5Q;ibm_brisbane;5;2;6;'00110;0;54;54
2;Greenoble_2num_5Q;ibm_brisbane;5;2;7;'00111;0;8;8
2;Greenoble_2num_5Q;ibm_brisbane;5;2;8;'01000;0;203;203
2;Greenoble_2num_5Q;ibm_brisbane;5;2;9;'01001;0;35;35
2;Greenoble_2num_5Q;ibm_brisbane;5;2;10;'01010;0;48;48
2;Greenoble_2num_5Q;ibm_brisbane;5;2;11;'01011;0;5;5
2;Greenoble_2num_5Q;ibm_brisbane;5;2;12;'01100;0;319;319
2;Greenoble_2num_5Q;ibm_brisbane;5;2;13;'01101;0;46;46
